1,1970-01-02 12:23,1970-01-02 12:23,Register
1,1970-01-02 12:23,1970-01-02 12:30,Analyze Defect
1,1970-01-02 12:31,1970-01-02 12:49,Repair (Complex)
1,1970-01-02 12:49,1970-01-02 12:55,Test Repair
1,1970-01-02 13:10,1970-01-02 13:10,Inform User
1,1970-01-02 13:10,1970-01-02 13:10,Archive Repair
1,1970-01-02 13:10,1970-01-02 13:10,End
10,1970-01-01 11:09,1970-01-01 11:09,Register
10,1970-01-01 11:09,1970-01-01 11:15,Analyze Defect
10,1970-01-01 11:35,1970-01-01 11:42,Repair (Simple)
10,1970-01-01 11:42,1970-01-01 11:48,Test Repair
10,1970-01-01 11:54,1970-01-01 11:54,Restart Repair
10,1970-01-01 11:54,1970-01-01 12:03,Repair (Simple)
10,1970-01-01 11:55,1970-01-01 11:55,Inform User
10,1970-01-01 12:03,1970-01-01 12:09,Test Repair
10,1970-01-01 12:14,1970-01-01 12:14,Archive Repair
10,1970-01-01 12:14,1970-01-01 12:14,End
100,1970-01-04 02:28,1970-01-04 02:28,Register
100,1970-01-04 02:28,1970-01-04 02:36,Analyze Defect
100,1970-01-04 02:52,1970-01-04 03:09,Repair (Complex)
100,1970-01-04 03:09,1970-01-04 03:18,Test Repair
100,1970-01-04 03:20,1970-01-04 03:20,Inform User
100,1970-01-04 03:28,1970-01-04 03:28,Archive Repair
100,1970-01-04 03:28,1970-01-04 03:28,End
1000,1970-01-22 06:23,1970-01-22 06:23,Register
1000,1970-01-22 06:23,1970-01-22 06:28,Analyze Defect
1000,1970-01-22 06:35,1970-01-22 06:49,Repair (Simple)
1000,1970-01-22 06:49,1970-01-22 06:58,Test Repair
1000,1970-01-22 07:03,1970-01-22 07:03,Inform User
1000,1970-01-22 07:08,1970-01-22 07:08,Archive Repair
1000,1970-01-22 07:08,1970-01-22 07:08,End
1001,1970-01-22 07:51,1970-01-22 07:51,Register
1001,1970-01-22 07:51,1970-01-22 07:56,Analyze Defect
1001,1970-01-22 08:06,1970-01-22 08:54,Repair (Complex)
1001,1970-01-22 08:35,1970-01-22 08:35,Inform User
1001,1970-01-22 08:54,1970-01-22 09:00,Test Repair
1001,1970-01-22 09:00,1970-01-22 09:00,End
1002,1970-01-22 21:40,1970-01-22 21:40,Register
1002,1970-01-22 21:40,1970-01-22 21:50,Analyze Defect
1002,1970-01-22 22:12,1970-01-22 22:32,Repair (Simple)
1002,1970-01-22 22:26,1970-01-22 22:26,Inform User
1002,1970-01-22 22:32,1970-01-22 22:40,Test Repair
1002,1970-01-22 22:40,1970-01-22 22:40,End
1003,1970-01-22 06:43,1970-01-22 06:43,Register
1003,1970-01-22 06:43,1970-01-22 06:49,Analyze Defect
1003,1970-01-22 07:08,1970-01-22 07:14,Repair (Simple)
